"Tanggal","Jenis.Produk","Jumlah.Order","Harga","Total","Bulan","Tahun"
2023-08-22,"KertasStikerA3",200,500,100000,8,2023
2023-08-23,"Ivory300",1000,1800,1800000,8,2023
2023-08-23,"Ivory300",1000,1700,1700000,8,2023
2023-08-24,"Dupleks310",2000,1700,3400000,8,2023
2023-08-24,"Dupleks310",3500,1700,5950000,8,2023
2023-08-24,"Dupleks310",3500,1700,5950000,8,2023
2023-08-24,"CraftLaminasi290",6000,950,5700000,8,2023
2023-08-24,"HVS",20000,250,5000000,8,2023
2023-08-24,"Ivory300",1000,4200,4200000,8,2023
2023-08-24,"Ivory300",500,6550,3275000,8,2023
2023-08-24,"Ivory300",500,6550,3275000,8,2023
2023-08-24,"Ivory300",500,5500,2750000,8,2023
2023-08-27,"CraftLaminasi290",1000,1350,1350000,8,2023
2023-08-27,"Dupleks310",1000,2000,2000000,8,2023
2023-08-27,"FoodpakMatte245",1000,1500,1500000,8,2023
2023-08-28,"Dupleks310",2000,1450,2900000,8,2023
2023-08-28,"CraftLaminasi290",2000,900,1800000,8,2023
2023-08-28,"CraftLaminasi290",1500,800,1200000,8,2023
2023-08-28,"CraftLaminasi290",1500,875,1312500,8,2023
2023-08-28,"CraftLaminasi290",1500,850,1275000,8,2023
2023-08-28,"Ivory230",1000,1700,1700000,8,2023
2023-08-28,"Ivory230",1000,2000,2000000,8,2023
2023-08-28,"Dupleks310",1000,1700,1700000,8,2023
2023-08-29,"Dupleks310",3000,1800,5400000,8,2023
2023-08-29,"Craf270",1000,2000,2000000,8,2023
2023-08-29,"Ivory230",1000,1000,1000000,8,2023
2023-08-29,"GreaseProof",5000,250,1250000,8,2023
2023-08-30,"Dupleks310IK",500,1500,750000,8,2023
2023-08-31,"Dupleks350IK",1500,1800,2700000,8,2023
2023-08-31,"Ivory300",1000,3400,3400000,8,2023
2023-08-31,"Ivory350",10000,900,9000000,8,2023
2023-08-31,"Ivory350",2000,900,1800000,8,2023
2023-08-31,"FoodpakMatte245",1000,1500,1500000,8,2023
2023-08-31,"GreaseProof",1000,400,400000,8,2023
2023-08-31,"Dupleks310P",1000,2250,2250000,8,2023
2023-08-31,"Dupleks350P",1000,2250,2250000,8,2023
2023-08-31,"Greseproof40",2000,250,500000,8,2023
2023-09-01,"Dupleks310",1000,1700,1700000,9,2023
2023-09-02,"Kinstruk250",2000,1150,2300000,9,2023
2023-09-02,"KertasStiker",5,15000,75000,9,2023
2023-09-03,"Ivory350",10000,900,9000000,9,2023
2023-09-03,"Ivory350",4000,900,3600000,9,2023
2023-09-03,"Ivory350",1000,2600,2600000,9,2023
2023-09-03,"CraftLaminasi290",4000,1500,6000000,9,2023
2023-09-05,"CraftLaminasi290",1000,1200,1200000,9,2023
2023-09-06,"GreaseProof",1000,300,300000,9,2023
2023-09-06,"Dupleks310",1000,1500,1500000,9,2023
2023-09-06,"GreaseProof",1000,300,300000,9,2023
2023-09-06,"CraftLaminasi290",1000,950,950000,9,2023
2023-09-07,"Dupleks310",2000,1600,3200000,9,2023
2023-09-08,"CraftLaminasi290",1000,950,950000,9,2023
2023-09-08,"Dupleks310",2000,1900,3800000,9,2023
2023-09-08,"Ivory250",1000,1900,1900000,9,2023
2023-09-08,"Foodpak245Matte",4000,1500,6000000,9,2023
2023-09-08,"Ivory230",1000,1350,1350000,9,2023
2023-09-08,"Dupleks310",1000,1900,1900000,9,2023
2023-09-09,"Ivory230",1000,1600,1600000,9,2023
2023-09-09,"Ivory230",1000,1700,1700000,9,2023
2023-09-09,"Ivory250",1000,1550,1550000,9,2023
2023-09-09,"Foodpak260Matte",4500,1000,4500000,9,2023
2023-09-09,"Dupleks310",1000,1400,1400000,9,2023
2023-09-12,"Dupleks310",1000,1700,1700000,9,2023
2023-09-12,"Dupleks310",1000,1500,1500000,9,2023
2023-09-12,"Dupleks310",1000,1700,1700000,9,2023
2023-09-13,"GreaseProof",1000,300,300000,9,2023
2023-09-13,"GreaseProof",1000,400,400000,9,2023
2023-09-13,"Ivory250",1000,1600,1600000,9,2023
2023-09-14,"Dupleks310",1000,2000,2000000,9,2023
2023-09-15,"Dupleks350",500,3000,1500000,9,2023
2023-09-16,"Foodpak245Matte",4000,1500,6000000,9,2023
2023-09-16,"Ivory230",1000,1350,1350000,9,2023
2023-09-16,"Ivory230",3500,800,2800000,9,2023
2023-09-17,"FoodpakMatte245",2000,1000,2000000,9,2023
2023-09-17,"Ivory230",1000,950,950000,9,2023
2023-09-17,"Foodpak245",1000,1000,1000000,9,2023
2023-09-19,"Dupleks350",500,2650,1325000,9,2023
2023-09-19,"Dupleks350",500,2600,1300000,9,2023
2023-09-19,"Dupleks350",500,2500,1250000,9,2023
2023-09-19,"Dupleks350",500,2500,1250000,9,2023
2023-09-19,"Dupleks310",1000,1900,1900000,9,2023
2023-09-19,"NCR",50,12000,600000,9,2023
2023-09-20,"Ivory230",1000,945,945000,9,2023
2023-09-20,"Ivory230",1000,945,945000,9,2023
2023-09-20,"Ivory250",1000,700,700000,9,2023
2023-09-20,"Dupleks350",2000,1600,3200000,9,2023
2023-09-20,"Dupleks270",5000,1400,7000000,9,2023
2023-09-21,"Ivory250",1000,1500,1500000,9,2023
2023-09-22,"Ivory250",1000,1700,1700000,9,2023
2023-09-22,"KertasStikerA3",5,15000,75000,9,2023
2023-09-22,"Greaseproof40gram",500,300,150000,9,2023
2023-09-22,"CraftLaminasi290",1500,800,1200000,9,2023
2023-09-23,"CraftLaminasi290",1500,875,1312500,9,2023
2023-09-24,"Dupleks310",1000,2150,2150000,9,2023
2023-09-25,"Ivory300",1000,2700,2700000,9,2023
2023-09-25,"GreaseProof",1000,300,300000,9,2023
2023-09-25,"CraftLaminasi290",1000,1400,1400000,9,2023
2023-09-26,"FoodpakMatte245",1000,600,600000,9,2023
2023-09-26,"FoodpakMatte245",1000,1100,1100000,9,2023
2023-09-26,"Dupleks310",1000,2750,2750000,9,2023
2023-09-27,"Ivory250",1000,2000,2000000,9,2023
2023-09-27,"GreaseProof",1000,400,400000,9,2023
2023-09-28,"Dupleks350",1000,2500,2500000,9,2023
2023-09-28,"Dupleks400",1000,2500,2500000,9,2023
2023-09-29,"Ivory250",2000,1400,2800000,9,2023
2023-09-30,"Dupleks350",2000,1800,3600000,9,2023
2023-09-30,"Dupleks310",1000,1900,1900000,9,2023
2023-09-30,"Ivory245Matte",1000,1800,1800000,9,2023
2023-10-01,"Dupleks310",2000,1300,2600000,10,2023
2023-10-01,"CraftLaminasi",1000,1500,1500000,10,2023
2023-10-01,"Ivory230",2000,945,1890000,10,2023
2023-10-02,"Foodpak260Matte",1000,2300,2300000,10,2023
2023-10-03,"Ivory230",1000,1700,1700000,10,2023
2023-10-04,"GreaseProof",1000,1000,1000000,10,2023
2023-10-05,"Dupleks350",2000,1975,3950000,10,2023
